English,Marathi
courage,धैर्य
course,अभ्यासक्रम
court,न्यायालय
cousin,चुलत भाऊ
cover,कव्हर
coverage,कव्हरेज
cow,गाय
crack,क्रॅक
craft,हस्तकला
crash,आपटी
crazy,वेडा
cream,मलई
crease,क्रीज
create,तयार करा
creation,निर्मिती
creative,सर्जनशील
creature,प्राणी
credit,क्रेडिट
crew,क्रू
crime,गुन्हा
criminal,गुन्हेगार
crisis,संकट
criteria,निकष
critic,टीकाकार
critical,गंभीर
criticism,टीका
criticize,टीका करणे
crop,पीक
cross,फुली
crowd,गर्दी
crucial,निर्णायक
cry,रडणे
cultural,सांस्कृतिक
culture,संस्कृती
cup,कप
curious,उत्सुक
current,वर्तमान
currently,सध्या
curriculum,अभ्यासक्रम
custom,सानुकूल
customer,ग्राहक
cut,कट
cycle,सायकल
dad,बाबा
daily,दररोज
damage,नुकसान
dance,नृत्य
danger,धोका
dangerous,धोकादायक
dare,धाडस
dark,गडद
darkness,अंधार
data,डेटा
date,तारीख
daughter,मुलगी
day,दिवस
dead,मृत
deal,करार
dealer,डीलर
dear,प्रिय
death,मृत्यू
debate,वादविवाद
debt,कर्ज
decade,दशक
decide,ठरवा
decimal,दशांश
decision,निर्णय
deck,डेक
declare,जाहीर करा
decline,घट
decrease,कमी
deep,खोल
deeply,खोलवर
deer,हरिण
defeat,पराभव
defend,बचाव
defendant,प्रतिवादी
defense,संरक्षण
defensive,बचावात्मक
deficit,तूट
define,परिभाषित
definitely,निश्चितपणे
definition,व्याख्या
degree,पदवी
delay,विलंब
deliver,वितरित करा
delivery,वितरण
demand,मागणी
democracy,लोकशाही
Democrat,लोकशाही
democratic,लोकशाही
demonstrate,प्रात्यक्षिक
demonstration,प्रात्यक्षिक
deny,नाकारणे
department,विभाग
depend,अवलंबून
dependent,अवलंबून
depending,अवलंबून
depict,चित्रण
depression,नैराश्य
depth,खोली
deputy,उप
derive,मिळवणे
describe,वर्णन करणे
description,वर्णन
desert,वाळवंट
deserve,पात्र
design,रचना
designer,डिझायनर
desire,इच्छा
desk,डेस्क
desperate,हताश
despite,असूनही
destroy,नष्ट करणे
destruction,नाश
detail,तपशील
detailed,तपशीलवार
detect,शोधणे
determine,निश्चित करा
develop,विकसित करा
developing,विकसनशील
development,विकास
device,साधन
devote,भक्त
dialogue,संवाद
dictionary,शब्दकोश
did,केले
die,मरणे
diet,आहार
differ,भिन्न
difference,फरक
different,भिन्न
differently,वेगळ्या प्रकारे
difficult,कठीण
difficulty,अडचण
dig,खणणे
digital,डिजिटल
dimension,परिमाण
dining,जेवणाचे
dinner,रात्रीचे जेवण
direct,थेट
direction,दिशा
directly,थेट
director,दिग्दर्शक
dirt,घाण
dirty,गलिच्छ
disability,दिव्यांग
disagree,असहमत
disappear,अदृश्य
disaster,आपत्ती
discipline,शिस्त
discourse,प्रवचन
discover,शोधणे
discovery,शोध
discrimination,भेदभाव
discuss,चर्चा करा
discussion,चर्चा
disease,आजार
dish,ताटली
dismiss,काढून टाकणे
disorder,विकार
display,प्रदर्शन
dispute,वाद
distance,अंतर
distant,दूर
distinct,वेगळा
distinction,फरक
distinguish,वेगळे करणे
distribute,वितरित करा
distribution,वितरण
district,जिल्हा
diverse,वैविध्यपूर्ण
diversity,विविधता
divide,विभागणे
division,विभागणी
divorce,घटस्फोट
DNA,डीएनए
do,करा
doctor,डॉक्टर
document,दस्तऐवज
does,करते
dog,कुत्रा
dollar,डॉलर
domestic,घरगुती
dominant,प्रबळ
dominate,वर्चस्व गाजवणे
don’t,करू नका
done,केले
door,दरवाजा
double,दुहेरी
doubt,शंका
down,खाली
downtown,डाउनटाउन
dozen,डझन
draft,मसुदा
drag,ड्रॅग करा
drama,नाटक
dramatic,नाट्यमय
dramatically,नाटकीय
draw,काढा
drawing,रेखाचित्र
dream,स्वप्न
dress,ड्रेस
drink,पेय
drive,चालवा
driver,चालक
drop,थेंब
drug,औषध
dry,कोरडे
duck,बदक
due,देय
during,दरम्यान
dust,धूळ
duty,कर्तव्य
each,प्रत्येक
eager,उत्सुक
ear,कान
early,लवकर
earn,कमवा
earnings,कमाई
earth,पृथ्वी
ease,सहजता
easily,सहज
east,पूर्व
eastern,पूर्वेकडील
easy,सोपे
eat,खा
economic,आर्थिक
economics,अर्थशास्त्र
economist,अर्थशास्त्रज्ञ
economy,अर्थव्यवस्था
edge,धार
edition,आवृत्ती
editor,संपादक
educate,शिकवणे
education,शिक्षण
educational,शैक्षणिक
educator,शिक्षक
effect,परिणाम
effective,प्रभावी
effectively,प्रभावीपणे
efficiency,कार्यक्षमता
efficient,कार्यक्षम
effort,प्रयत्न
egg,अंडी
eight,आठ
either,एकतर
elderly,वृद्ध
elect,निवड
election,निवडणूक
electric,विद्युत
electricity,वीज
electronic,इलेक्ट्रॉनिक
element,घटक
elementary,प्राथमिक
eliminate,दूर करणे
elite,अभिजन
else,इतर
elsewhere,इतरत्र
e-mail,ई-मेल
embrace,आलिंगन
emerge,उदयास येणे
emergency,आणीबाणी
emission,उत्सर्जन
emotion,भावना
emotional,भावनिक
emphasis,भर
emphasize,जोर देणे
employ,नोकरी
employee,कर्मचारी
employer,नियोक्ता
employment,रोजगार
empty,रिक्त
enable,सक्षम करा
encounter,भेट
encourage,प्रोत्साहित करा
end,शेवट
enemy,शत्रू
energy,ऊर्जा
enforcement,अंमलबजावणी
engage,गुंतणे
engine,इंजिन
engineer,अभियंता
engineering,अभियांत्रिकी
English,इंग्रजी
enhance,वाढविण्यासाठी
enjoy,आनंद घ्या
enormous,प्रचंड
enough,पुरेसा
ensure,खात्री करा
enter,प्रविष्ट करा
enterprise,उद्योग
entertainment,मनोरंजन
entire,संपूर्ण
entirely,संपूर्णपणे
entrance,प्रवेशद्वार
entry,प्रवेश
environment,पर्यावरण
environmental,पर्यावरणविषयक
episode,भाग
equal,समान
equally,तितकेच
equate,समान
equipment,उपकरणे
era,युग
error,त्रुटी
escape,पळून जा
especially,विशेषतः
essay,निबंध
essential,अत्यावश्यक
essentially,मूलत:
establish,स्थापन करणे
establishment,स्थापना
estate,इस्टेट
estimate,अंदाज
etc,इ
ethics,नैतिकता
ethnic,जातीय
European,युरोपियन
evaluate,मूल्यमापन करा
evaluation,मूल्यमापन
even,अगदी
evening,संध्याकाळ
event,कार्यक्रम
eventually,अखेरीस
ever,कधीही
every,प्रत्येक
everybody,प्रत्येकजण
everyday,रोज
everyone,प्रत्येकजण
everything,सर्व काही
everywhere,सर्वत्र
evidence,पुरावा
evolution,उत्क्रांती
evolve,विकसित
exact,अचूक
exactly,नक्की
examination,परीक्षा
examine,परीक्षण
example,उदाहरण
exceed,जास्त
excellent,उत्कृष्ट
except,वगळता
exception,अपवाद
exchange,देवाणघेवाण
excite,खळबळ
exciting,रोमांचक
executive,कार्यकारी
exercise,व्यायाम
exhibit,प्रदर्शन
exhibition,प्रदर्शन
exist,अस्तित्वात
existence,अस्तित्व
existing,विद्यमान
expand,विस्तृत करा
expansion,विस्तार
expect,अपेक्षा
expectation,अपेक्षा
expense,खर्च
expensive,महाग
experience,अनुभव
experiment,प्रयोग
expert,तज्ञ
explain,स्पष्ट करणे
explanation,स्पष्टीकरण
explode,एकदम बाहेर पडणे
explore,अन्वेषण
explosion,स्फोट
expose,उघड करणे
exposure,उद्भासन
express,व्यक्त करा
expression,अभिव्यक्ती
extend,वाढवणे
extension,विस्तार
extensive,विस्तृत
extent,मर्यादा
external,बाह्य
extra,अतिरिक्त
extraordinary,विलक्षण
extreme,अत्यंत
extremely,अत्यंत
eye,डोळा
fabric,कापड
face,चेहरा
facility,सुविधा
fact,वस्तुस्थिती
factor,घटक
factory,कारखाना
faculty,प्राध्यापक
fade,कोमेजणे
fail,अपयशी
failure,अपयश
fair,योग्य
fairly,निष्पक्षपणे
faith,विश्वास
fall,पडणे
familiar,परिचित
family,कुटुंब
famous,प्रसिद्ध
fan,चाहता
fantasy,कल्पनारम्य
far,दूर
farm,शेत
farmer,शेतकरी
fashion,फॅशन
fast,वेगवान
fat,चरबी
fate,नशीब
father,वडील
fault,दोष
favor,अनुकूलता
favorite,आवडते
fear,भीती
feature,वैशिष्ट्य
federal,फेडरल
fee,शुल्क
feed,अन्न देणे
feel,वाटत
feeling,भावना
feet,पाय
fell,पडले
fellow,सहकारी
felt,वाटले
female,महिला
fence,कुंपण
few,काही
fewer,कमी
fiber,फायबर
fiction,काल्पनिक
field,फील्ड
fifteen,पंधरा
fifth,पाचवा
fifty,पन्नास
fig,अंजीर
fight,लढा
fighter,सेनानी
fighting,लढा
figure,आकृती
file,फाइल
fill,भरा
film,चित्रपट
final,अंतिम
finally,शेवटी
finance,वित्त
financial,आर्थिक
find,शोधणे
finding,शोधणे
fine,ठीक
finger,बोट
finish,समाप्त
fire,आग
firm,ठाम
first,पहिला
fish,मासे
fishing,मासेमारी
fit,फिट
fitness,फिटनेस
five,पाच
fix,निराकरण
flag,झेंडा
flame,ज्योत
flat,फ्लॅट
flavor,चव
flee,पळून जा
flesh,मांस
flight,उड्डाण
float,तरंगणे
floor,मजला
flow,प्रवाह
flower,फूल
fly,उडणे
focus,फोकस
folk,लोक
follow,अनुसरण करा
following,खालील
food,अन्न
foot,पाऊल
football,फुटबॉल
for,च्या साठी
force,शक्ती
foreign,परदेशी
forest,वन
forever,कायमचे
forget,विसरणे
form,फॉर्म
formal,औपचारिक
formation,निर्मिती
former,माजी
formula,सुत्र
forth,पुढे
fortune,दैव
forward,पुढे
found,आढळले
foundation,पाया
founder,संस्थापक
four,चार
fourth,चौथा
fraction,अपूर्णांक
frame,फ्रेम
framework,चौकट
free,फुकट
freedom,स्वातंत्र्य
freeze,गोठवणे
French,फ्रेंच
frequency,वारंवारता
frequent,वारंवार
frequently,वारंवार
fresh,ताजे
friend,मित्र
friendly,मैत्रीपूर्ण
friendship,मैत्री
from,कडून
front,समोर
fruit,फळ
frustration,निराशा
fuel,इंधन
full,पूर्ण
fully,पूर्णपणे
fun,मजा
function,कार्य
fund,निधी
fundamental,मूलभूत
funding,निधी
funeral,अंत्यसंस्कार
funny,मजेदार
furniture,फर्निचर
furthermore,शिवाय
future,भविष्य
gain,लाभ
galaxy,आकाशगंगा
gallery,गॅलरी
game,खेळ
gang,टोळी
gap,अंतर
garage,गॅरेज
garden,बाग
garlic,लसूण
gas,वायू
gate,गेट
gather,गोळा करणे
gave,दिली
gay,समलिंगी
gaze,टक लावून पाहणे
gear,गियर
gender,लिंग
gene,जनुक
general,सामान्य
generally,साधारणपणे
generate,उत्पन्न करा
generation,पिढी
genetic,अनुवांशिक
gentle,सौम्य
gentleman,सज्जन
gently,हळूवारपणे
German,जर्मन
gesture,हावभाव
get,मिळवा
ghost,भूत
giant,राक्षस
gift,भेट
gifted,भेटवस्तू
girl,मुलगी
girlfriend,मैत्रीण
give,देणे
given,दिले
glad,आनंदी
glance,नजर
glass,काच
global,जागतिक
glove,हातमोजा
go,जा
goal,ध्येय
God,देव
gold,सोने
golden,सोनेरी
golf,गोल्फ
gone,गेले
good,चांगले
got,मिळाले
govern,शासन
government,सरकार
governor,राज्यपाल
grab,पकडणे
grade,श्रेणी
gradually,हळूहळू
graduate,पदवीधर
grain,धान्य
grand,भव्य
grandfather,आजोबा
grandmother,आजी
grant,अनुदान
grass,गवत
grave,कबर
gray,राखाडी
great,छान
greatest,सर्वात मोठा
green,हिरवा
grew,वाढले
grocery,किराणा
ground,जमीन
group,गट
grow,वाढणे
growing,वाढत आहे
growth,वाढ
guarantee,हमी
guard,रक्षक
guess,अंदाज
guest,अतिथी
guide,मार्गदर्शन
guideline,मार्गदर्शक सूचना
guilty,अपराधी
gun,बंदूक
guy,माणूस
habit,सवय
habitat,निवासस्थान
had,होते
hair,केस
half,अर्धा
hall,हॉल
hand,हात
handful,मूठभर
handle,हाताळणे
hang,फाशी देणे
happen,घडणे
happy,आनंदी
hard,कठीण
hardly,क्वचितच
has,आहे
hat,टोपी
hate,द्वेष
have,आहे
he,तो
head,डोके
headline,मथळा
headquarters,मुख्यालय
health,आरोग्य
healthy,निरोगी
hear,ऐका
heard,ऐकले
hearing,सुनावणी
heart,हृदय
heat,उष्णता
heaven,स्वर्ग
heavily,जोरदारपणे
heavy,जड
heel,टाच
height,उंची
held,आयोजित
helicopter,हेलिकॉप्टर
hell,नरक
hello,नमस्कार
help,मदत
helpful,उपयुक्त
her,तिला
here,येथे
heritage,वारसा
hero,नायक
herself,स्वतः
hey,अहो
hi,हाय
hide,लपवा
high,उच्च
highlight,ठळक
highly,अत्यंत
highway,महामार्ग
hill,टेकडी
him,त्याला
himself,स्वतः
hip,नितंब
hire,भाड्याने
his,त्याचा
historian,इतिहासकार
historic,ऐतिहासिक
historical,ऐतिहासिक
history,इतिहास
hit,दाबा
hold,धरून ठेवा
hole,भोक
holiday,सुट्टी
holy,पवित्र
home,मुख्यपृष्ठ
homeless,बेघर
honest,प्रामाणिक
honey,मध
honor,सन्मान
hope,आशा
horizon,क्षितीज
horror,भयपट
horse,घोडा
hospital,रुग्णालय
host,होस्ट
hot,गरम
hotel,हॉटेल
hour,तास
house,घर
household,घरगुती
housing,गृहनिर्माण
how,कसे
however,तथापि
huge,प्रचंड
human,मानव
humor,विनोद
hundred,शंभर
hungry,भुकेलेला
hunt,शिकार
hunter,शिकारी
hunting,शिकार
hurry,घाई करा
hurt,दुखापत
husband,नवरा
hypothesis,गृहीतक
I,मी
ice,बर्फ
idea,कल्पना
ideal,आदर्श
identification,ओळख
identify,ओळखा
identity,ओळख
ie,उदा
if,तर
ignore,दुर्लक्ष करा
ill,आजारी
illegal,बेकायदेशीर
illness,आजार
illustrate,स्पष्ट करा
image,प्रतिमा
imagination,कल्पना
imagine,कल्पना करा
immediate,तत्काळ
immediately,लगेच
immigrant,स्थलांतरित
immigration,स्थलांतर
impact,परिणाम
implement,अंमलात आणणे
implication,अर्थ
imply,सूचित करणे
importance,महत्त्व
important,महत्वाचे
impose,लादणे
impossible,अशक्य
impress,प्रभावित करणे
impression,ठसा
impressive,प्रभावी
improve,सुधारणे
improvement,सुधारणा
in,मध्ये
incentive,प्रोत्साहन
inch,इंच
incident,घटना
include,समाविष्ट करा
including,समावेश
income,उत्पन्न
incorporate,अंतर्भूत करणे
increase,वाढ
increased,वाढली
increasing,वाढत आहे
increasingly,वाढत्या प्रमाणात
incredible,अविश्वसनीय
indeed,खरंच
independence,स्वातंत्र्य
independent,स्वतंत्र
index,निर्देशांक
Indian,भारतीय
indicate,सूचित करा
indication,संकेत
individual,वैयक्तिक
industrial,औद्योगिक
industry,उद्योग
infant,अर्भक
infection,संसर्ग
inflation,महागाई
influence,प्रभाव
inform,माहिती देणे
information,माहिती
ingredient,घटक
initial,प्रारंभिक
initially,सुरुवातीला
initiative,पुढाकार
injury,इजा
inner,आतील
innocent,निष्पाप
inquiry,चौकशी
insect,कीटक
inside,आत
insight,अंतर्दृष्टी
insist,आग्रह धरणे
inspire,प्रेरणा
install,स्थापित करा
instance,उदाहरण
instant,झटपट
instead,त्याऐवजी
institution,संस्था
institutional,संस्थात्मक
instruction,सूचना
instructor,शिक्षक
instrument,वाद्य
insurance,विमा
intellectual,बौद्धिक
intelligence,बुद्धिमत्ता
intend,हेतू
intense,तीव्र
intensity,तीव्रता
intention,हेतू
interaction,संवाद
interest,व्याज
interested,स्वारस्य आहे
interesting,मनोरंजक
internal,अंतर्गत
international,आंतरराष्ट्रीय
Internet,इंटरनेट
interpret,अर्थ लावणे
interpretation,व्याख्या
intervention,हस्तक्षेप
interview,मुलाखत
into,मध्ये
introduce,परिचय
introduction,परिचय
invasion,आक्रमण
invent,शोध
invest,गुंतवणूक करा
investigate,चौकशी
investigation,तपास
investigator,तपासनीस
investment,गुंतवणूक
investor,गुंतवणूकदार
invite,आमंत्रण
involve,गुंतवणे
involved,सहभागी
involvement,सहभाग
Iraqi,इराकी
Irish,आयरिश
iron,लोह
is,आहे
Islamic,इस्लामिक
island,बेट
Israeli,इस्रायली
issue,मुद्दा
it,ते
Italian,इटालियन
item,आयटम
its,त्याचे
itself,स्वतः
jacket,जाकीट
jail,तुरुंग
Japanese,जपानी
jet,जेट
Jew,ज्यू
Jewish,ज्यू
job,नोकरी
join,सामील व्हा
joint,संयुक्त
joke,विनोद
journal,जर्नल
journalist,पत्रकार
journey,प्रवास
joy,आनंद
judge,न्यायाधीश
judgment,निर्णय
juice,रस
jump,उडी
junior,कनिष्ठ
jury,ज्यूरी
just,फक्त
justice,न्याय
justify,न्याय्य
keep,ठेवा
kept,ठेवले
key,की
kick,लाथ मारणे
kid,मूल
kill,मारणे
killer,मारेकरी
killing,हत्या
kind,दयाळू
king,राजा
kiss,चुंबन
kitchen,स्वयंपाकघर
knee,गुडघा
knew,माहित होते
knife,चाकू
knock,ठोठावणे
know,माहित आहे
knowledge,ज्ञान
lab,प्रयोगशाळा
label,लेबल
labor,श्रम
laboratory,प्रयोगशाळा
lack,अभाव
lady,बाई
lake,लेक
land,जमीन
landscape,लँडस्केप
language,इंग्रजी
lap,मांडी
large,मोठा
largely,मोठ्या प्रमाणात
last,शेवटचा
late,उशीरा
later,नंतर
Latin,लॅटिन
latter,नंतरचे
laugh,हसणे
launch,प्रक्षेपण
law,कायदा
lawn,लॉन
lawsuit,खटला
lawyer,वकील
lay,घालणे
layer,थर
lead,आघाडी
leader,नेता
leadership,नेतृत्व
leading,अग्रगण्य
leaf,पान
league,लीग
lean,दुबळे
learn,शिका
learning,शिकणे
least,किमान
leather,लेदर
leave,सोडा
led,एलईडी
left,डावीकडे
leg,पाय
legacy,वारसा
legal,कायदेशीर
legend,आख्यायिका
legislation,कायदे
legitimate,कायदेशीर
lemon,लिंबू
length,लांबी
less,कमी
lesson,धडा
let,द्या
letter,पत्र
level,पातळी
liberal,उदारमतवादी
library,ग्रंथालय
license,परवाना
lie,खोटे बोलणे
life,जीवन
lifestyle,जीवनशैली
lifetime,आजीवन
lift,लिफ्ट
light,प्रकाश
like,सारखे
likely,शक्यता
limit,मर्यादा
limitation,मर्यादा
limited,मर्यादित
line,ओळ
link,दुवा
lip,ओठ
liquid,द्रव
list,यादी
listen,ऐका
literally,शब्दशः
literary,साहित्य
literature,साहित्य
little,थोडे
live,राहतात
living,जगणे
load,भार
loan,कर्ज
local,स्थानिक
locate,शोधून काढणे
location,स्थान
lock,कुलूप
log,लॉग
lone,एकटा
long,लांब
long-term,दीर्घकालीन
look,दिसत
loose,सैल
lose,हरवणे
loss,तोटा
lost,हरवले
lot,भरपूर
lots,बरेच
loud,मोठ्याने
love,प्रेम
lovely,सुंदर
lover,प्रियकर
low,कमी
lower,कमी
luck,नशीब
lucky,नशीबवान
lunch,दुपारचे जेवण
lung,फुफ्फुस
machine,मशीन
mad,वेडा
made,केले
magazine,मासिक
magnet,चुंबक
mail,मेल
main,मुख्य
mainly,प्रामुख्याने
maintain,राखणे
maintenance,देखभाल
major,प्रमुख
majority,बहुमत
make,बनवा
maker,निर्माता
makeup,मेकअप
male,पुरुष
mall,मॉल
man,माणूस
manage,व्यवस्थापित करा
management,व्यवस्थापन
manager,व्यवस्थापक
manner,रीतीने
manufacturer,निर्माता
manufacturing,उत्पादन
many,अनेक
map,नकाशा
margin,मार्जिन
mark,चिन्ह
market,बाजार
marketing,विपणन
marriage,लग्न
married,विवाहित
marry,लग्न करा
mask,मुखवटा
mass,वस्तुमान
massive,प्रचंड
master,मास्टर
match,सामना
material,साहित्य
math,गणित
matter,बाब
may,मे
maybe,कदाचित
mayor,महापौर
me,मी
meal,जेवण
mean,म्हणजे
meaning,अर्थ
meant,म्हणजे
meanwhile,दरम्यान
measure,मोजमाप
measurement,मोजमाप
meat,मांस
mechanism,यंत्रणा
media,मीडिया
medical,वैद्यकीय
medication,औषधोपचार
medicine,औषध
medium,मध्यम
meet,भेटणे
meeting,बैठक
melody,माधुर्य
member,सदस्य
membership,सदस्यत्व
memory,स्मृती
men,पुरुष
mental,वेडा
mention,उल्लेख
menu,मेनू
mere,फक्त
merely,फक्त
mess,गोंधळ
message,संदेश
metal,धातू
meter,मीटर
method,पद्धत
Mexican,मेक्सिकन
middle,मध्य
might,कदाचित
mile,मैल
military,सैन्य
milk,दूध
million,दशलक्ष
mind,मन
mine,माझे
minister,मंत्री
minor,किरकोळ
minority,अल्पसंख्याक
minute,मिनिट
miracle,चमत्कार
mirror,आरसा
miss,चुकणे
missile,क्षेपणास्त्र
mission,मिशन
mistake,चूक
mix,मिक्स
mixture,मिश्रण
mode,मोड
model,मॉडेल
moderate,मध्यम
modern,आधुनिक
modest,विनम्र
molecule,रेणू
mom,आई
moment,क्षण
money,पैसा
monitor,निरीक्षण
month,महिना
mood,मूड
moon,चंद्र
moral,नैतिक
more,अधिक
moreover,शिवाय
morning,सकाळी
mortgage,गहाण
most,जास्तीत जास्त
mostly,मुख्यतः
mother,आई
motion,हालचाल
motivation,प्रेरणा
motor,मोटर
mount,माउंट
mountain,डोंगर
mouse,उंदीर
mouth,तोंड
move,हलवा
movement,चळवळ
movie,चित्रपट
Mr,श्री
Mrs,सौ
Ms,कु
much,खूप
multiple,अनेक
multiply,गुणाकार
murder,खून
muscle,स्नायू
museum,संग्रहालय
music,संगीत
musical,संगीत
musician,संगीतकार
Muslim,मुसलमान
must,हे केलेच पाहिजे
mutual,परस्पर
my,माझे
myself,स्वतः
mystery,गूढ
myth,मिथक
naked,नग्न
name,नाव
narrative,कथा
narrow,अरुंद
nation,राष्ट्र
national,राष्ट्रीय
native,मुळ
natural,नैसर्गिक
naturally,नैसर्गिकरित्या
nature,निसर्ग
near,जवळ
nearby,जवळ
nearly,जवळजवळ
necessarily,अपरिहार्यपणे
necessary,आवश्यक
neck,मान
need,गरज
negative,नकारात्मक
negotiate,वाटाघाटी
negotiation,वाटाघाटी
neighbor,शेजारी
neighborhood,शेजार
neither,नाही
nerve,मज्जातंतू
nervous,चिंताग्रस्त
net,निव्वळ
network,नेटवर्क
never,कधीच नाही
nevertheless,असे असले तरी
new,नवीन
newly,नवीन
news,बातमी
newspaper,वृत्तपत्र
next,पुढे
nice,छान
night,रात्र
nine,नऊ
no,नाही
nobody,कोणीही नाही
nod,होकार
noise,आवाज
nomination,नामांकन
none,काहीही नाही
nonetheless,तरीही
noon,दुपार
nor,नाही
normal,सामान्य
normally,साधारणपणे
north,उत्तर
northern,उत्तर
nose,नाक
not,नाही
note,टीप
nothing,काहीही नाही
notice,सूचना
notion,कल्पना
noun,संज्ञा
novel,कादंबरी
now,आता
nowhere,कोठेही नाही
n’t,नाही
nuclear,आण्विक
number,संख्या
numeral,अंक
numerous,असंख्य
nurse,परिचारिका
nut,नट
object,ऑब्जेक्ट
objective,उद्दिष्ट
obligation,बंधन
observation,निरीक्षण
observe,निरीक्षण
observer,निरीक्षक
obtain,मिळवणे
obvious,स्पष्ट
obviously,स्पष्टपणे
occasion,प्रसंग
occasionally,अधूनमधून
occupation,व्यवसाय
occupy,व्यापू
occur,उद्भवते
ocean,महासागर
odd,विषम
odds,शक्यता
of,च्या
off,बंद
offense,गुन्हा
offensive,आक्षेपार्ह
offer,ऑफर
office,कार्यालय
officer,अधिकारी
